@timestamp,Host Name,Host OS,CPU Avg,zscore,IsAnomaly
2022-11-16 05:36:31.929592,10.2.0.4,Windows,17.078487909196202,1.2932230808121898,No
2022-11-16 05:36:33.966797,10.2.0.4,Windows,9.510653815814283,0.15707870624413037,No
2022-11-16 05:38:43.493761,10.2.0.4,Windows,20.476358753876244,1.8033388944064703,No
2022-11-16 05:38:45.466454,10.2.0.4,Windows,10.891195208885293,0.364336729906096,No
2022-11-16 05:40:54.555635,10.2.0.4,Windows,10.984940957197018,0.378410598766036,No
2022-11-16 05:43:05.607021,10.2.0.4,Windows,30.070745906845893,3.2437257814296845,Yes
2022-11-16 05:45:16.634305,10.2.0.4,Windows,6.484198211689837,-0.29727725175882486,No
2022-11-16 05:47:27.774635,10.2.0.4,Windows,7.090455105994367,-0.20626107044354652,No
2022-11-16 05:49:38.740615,10.2.0.4,Windows,17.972390119640416,1.4274229001103287,No
2022-11-16 05:51:49.790376,10.2.0.4,Windows,9.007563865827734,0.08155077982211825,No
2022-11-16 05:54:00.922664,10.2.0.4,Windows,9.11177927569874,0.09719643883197854,No
2022-11-16 05:56:11.928292,10.2.0.4,Windows,7.275971679322743,-0.17840982415889295,No
2022-11-16 05:40:56.538832,10.2.0.4,Windows,15.579951212502712,1.0682506491991612,No
2022-11-16 05:58:23.009286,10.2.0.4,Windows,13.309805514509929,0.7274380425274707,No
2022-11-16 06:00:33.939909,10.2.0.4,Windows,11.884560426567766,0.5134687391488046,No
2022-11-16 06:02:44.897575,10.2.0.4,Windows,14.653904944921848,0.9292251044370438,No
2022-11-16 06:04:56.044744,10.2.0.4,Windows,13.628922730283318,0.775346496261389,No
2022-11-16 06:07:07.685146,10.2.0.4,Windows,18.123313589081427,1.4500807502534299,No
2022-11-16 06:09:19.357328,10.2.0.4,Windows,9.050966174916663,0.08806668499474535,No
2022-11-16 06:14:19.117488,10.2.0.4,Windows,5.260929383910455,-0.4809242477310806,No
2022-11-16 06:14:18.004785,10.2.0.4,Windows,14.3019558394224,0.8763876622556485,No
2022-11-16 06:16:29.358908,10.2.0.4,Windows,13.508070036237012,0.7572031137826187,No
2022-11-16 06:16:30.390804,10.2.0.4,Windows,6.0406790329581845,-0.36386193288571106,No
2022-11-16 06:18:42.057906,10.2.0.4,Windows,11.26554702144443,0.42053744740337323,No
2022-11-16 06:18:40.971122,10.2.0.4,Windows,22.73216918192533,2.141999374577569,Yes
2022-11-16 06:20:51.999960,10.2.0.4,Windows,20.572060440314782,1.8177064044948466,No
2022-11-16 06:20:53.156945,10.2.0.4,Windows,12.502446764484148,0.6062308264625399,No
2022-11-16 06:23:04.136679,10.2.0.4,Windows,13.419998445796066,0.7439810953287197,No
2022-11-16 06:23:04.859935,10.2.0.4,Windows,15.42400563390606,1.0448388394693087,No
2022-11-16 06:12:07.879421,10.2.0.4,Windows,25.33696037316977,2.5330516654100044,Yes
2022-11-16 06:12:08.870404,10.2.0.4,Windows,18.4369505882947,1.4971664696172018,No
2022-11-16 06:25:15.733661,10.2.0.4,Windows,21.60572424790644,1.9728883635201997,No
2022-11-16 06:25:16.722595,10.2.0.4,Windows,16.314117036936167,1.178469552142558,No
2022-11-16 06:46:16.155096,10.2.0.4,Windows,2.6810988443497026,-0.8682292439418257,No
2022-11-16 06:48:29.924796,10.2.0.4,Windows,67.16340461236487,8.81237527956048,Yes
2022-11-16 06:50:40.330279,10.2.0.4,Windows,1.6503927651866033,-1.0229671648878365,No
2022-11-16 06:52:51.287892,10.2.0.4,Windows,7.992074207910274,-0.0709027290733682,No
2022-11-16 06:55:02.354962,10.2.0.4,Windows,7.310102436719066,-0.17328583920664745,No
2022-11-16 06:57:13.487669,10.2.0.4,Windows,1.5141069933689884,-1.0434274856445582,No
2022-11-16 06:59:25.218705,10.2.0.4,Windows,5.241941018447427,-0.48377493451105746,No
2022-11-16 07:01:37.126892,10.2.0.4,Windows,2.865534740786199,-0.840540237600105,No
2022-11-16 07:03:48.555363,10.2.0.4,Windows,12.545748738648122,0.6127316685458929,No
2022-11-16 07:06:07.926100,10.2.0.4,Windows,39.131703987703744,4.604029987988104,Yes
2022-11-16 07:06:13.803048,10.2.0.4,Windows,29.2193345784509,3.1159050365159686,Yes
2022-11-16 07:09:19.245811,10.2.0.4,Windows,14.637633065989997,0.9267822385544205,No
2022-11-16 07:09:23.145562,10.2.0.4,Windows,14.30901568963979,0.8774475439880975,No
2022-11-16 07:12:21.649765,10.2.0.4,Windows,17.87551709972896,1.4128795399809002,No
2022-11-16 07:12:26.284690,10.2.0.4,Windows,11.757238637480272,0.4943541638757818,No
2022-11-16 07:15:46.099138,10.2.0.4,Windows,11.155856122406654,0.4040697637378358,No
2022-11-16 07:15:47.861598,10.2.0.4,Windows,10.09187054232553,0.2443356553371462,No
2022-11-16 07:21:35.104184,10.2.0.4,Windows,15.37123616837965,1.0369166611198621,No
2022-11-16 07:21:36.273116,10.2.0.4,Windows,19.530387082270373,1.6613219870676013,No
2022-11-16 07:24:56.980370,10.2.0.4,Windows,24.02999877848733,2.336840035338265,Yes
2022-11-16 07:29:37.974067,10.2.0.4,Windows,11.137109016029484,0.4012552967203206,No
2022-11-16 07:29:40.512129,10.2.0.4,Windows,13.78469072028734,0.7987316449574484,No
2022-11-16 07:24:59.761159,10.2.0.4,Windows,12.44495042563856,0.5975990117145396,No
2022-11-16 08:58:28.330426,10.2.0.4,Windows,9.88237659357507,0.21288473180447667,No
2022-11-16 08:54:59.286644,10.2.0.4,Windows,15.552850246874431,1.064182033362186,No
